[2025-06-25 16:12:49,470] 19 root - INFO - Initiate Data Ingestion
[2025-06-25 16:12:55,411] 51 root - INFO - Performed train-test split
[2025-06-25 16:12:55,615] 61 root - INFO - Split into train-test sets
[2025-06-25 16:12:55,616] 21 root - INFO - Data Ingestion Completed
[2025-06-25 16:12:55,617] 26 root - INFO - Initiate Data Validation
[2025-06-25 16:12:55,750] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:12:55,750] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:12:55,750] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:12:55,750] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:12:56,055] 28 root - INFO - Data Validation Completed
[2025-06-25 16:12:56,055] 33 root - INFO - Initiate Data Transformation
[2025-06-25 16:12:56,055] 39 root - INFO - Initiating Data Transformation
