[2025-06-25 16:08:27,630] 19 root - INFO - Initiate Data Ingestion
[2025-06-25 16:08:33,374] 51 root - INFO - Performed train-test split
[2025-06-25 16:08:33,555] 61 root - INFO - Split into train-test sets
[2025-06-25 16:08:33,556] 21 root - INFO - Data Ingestion Completed
[2025-06-25 16:08:33,573] 26 root - INFO - Initiate Data Validation
[2025-06-25 16:08:33,695] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:08:33,695] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:08:33,695] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:08:33,695] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:08:34,038] 28 root - INFO - Data Validation Completed
[2025-06-25 16:08:34,038] 33 root - INFO - Initiate Data Transformation
[2025-06-25 16:08:34,038] 39 root - INFO - Initiating Data Transformation
