[2025-06-25 16:10:24,496] 19 root - INFO - Initiate Data Ingestion
[2025-06-25 16:10:29,737] 51 root - INFO - Performed train-test split
[2025-06-25 16:10:29,899] 61 root - INFO - Split into train-test sets
[2025-06-25 16:10:29,901] 21 root - INFO - Data Ingestion Completed
[2025-06-25 16:10:29,901] 26 root - INFO - Initiate Data Validation
[2025-06-25 16:10:30,009] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:10:30,009] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:10:30,009] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:10:30,009] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:10:30,420] 28 root - INFO - Data Validation Completed
[2025-06-25 16:10:30,420] 33 root - INFO - Initiate Data Transformation
[2025-06-25 16:10:30,420] 39 root - INFO - Initiating Data Transformation
