[2025-06-25 19:52:11,666] 22 root - INFO - Initiate Data Ingestion
[2025-06-25 19:52:19,029] 51 root - INFO - Performed train-test split
[2025-06-25 19:52:19,244] 61 root - INFO - Split into train-test sets
[2025-06-25 19:52:19,244] 24 root - INFO - Data Ingestion Completed
[2025-06-25 19:52:19,272] 29 root - INFO - Initiate Data Validation
[2025-06-25 19:52:19,441] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:52:19,441] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:52:19,441] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:52:19,441] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:52:19,899] 31 root - INFO - Data Validation Completed
[2025-06-25 19:52:19,900] 36 root - INFO - Initiate Data Transformation
[2025-06-25 19:52:19,900] 39 root - INFO - Initiating Data Transformation
[2025-06-25 19:52:20,101] 28 root - INFO - Initializing KNN Imputer
[2025-06-25 19:52:20,133] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:52:20,135] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:52:20,143] 56 root - INFO - Saved pickle object as .pkl file
[2025-06-25 19:52:20,148] 38 root - INFO - Data Transformation Completed
