[2025-06-25 20:13:17,630] 22 root - INFO - Initiate Data Ingestion
[2025-06-25 20:13:22,650] 51 root - INFO - Performed train-test split
[2025-06-25 20:13:22,897] 61 root - INFO - Split into train-test sets
[2025-06-25 20:13:22,899] 24 root - INFO - Data Ingestion Completed
[2025-06-25 20:13:22,899] 29 root - INFO - Initiate Data Validation
[2025-06-25 20:13:23,090] 29 root - INFO - Required number of columns: 23
[2025-06-25 20:13:23,090] 30 root - INFO - Current number of columns: 31
[2025-06-25 20:13:23,090] 29 root - INFO - Required number of columns: 23
[2025-06-25 20:13:23,090] 30 root - INFO - Current number of columns: 31
[2025-06-25 20:13:23,483] 31 root - INFO - Data Validation Completed
[2025-06-25 20:13:23,484] 36 root - INFO - Initiate Data Transformation
[2025-06-25 20:13:23,484] 39 root - INFO - Initiating Data Transformation
[2025-06-25 20:13:23,649] 28 root - INFO - Initializing KNN Imputer
[2025-06-25 20:13:23,669] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 20:13:23,672] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 20:13:23,678] 56 root - INFO - Saved pickle object as .pkl file
[2025-06-25 20:13:23,680] 38 root - INFO - Data Transformation Completed
[2025-06-25 20:13:23,680] 43 root - INFO - Initiated Model Training
[2025-06-25 20:17:24,624] 56 root - INFO - Saved pickle object as .pkl file
[2025-06-25 20:17:24,626] 45 root - INFO - Model Training Completed
