[2025-06-25 16:16:21,073] 19 root - INFO - Initiate Data Ingestion
[2025-06-25 16:16:27,061] 51 root - INFO - Performed train-test split
[2025-06-25 16:16:27,280] 61 root - INFO - Split into train-test sets
[2025-06-25 16:16:27,282] 21 root - INFO - Data Ingestion Completed
[2025-06-25 16:16:27,283] 26 root - INFO - Initiate Data Validation
[2025-06-25 16:16:27,391] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:16:27,391] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:16:27,391] 29 root - INFO - Required number of columns: 23
[2025-06-25 16:16:27,391] 30 root - INFO - Current number of columns: 31
[2025-06-25 16:16:27,800] 28 root - INFO - Data Validation Completed
[2025-06-25 16:16:27,800] 33 root - INFO - Initiate Data Transformation
[2025-06-25 16:16:27,800] 39 root - INFO - Initiating Data Transformation
[2025-06-25 16:16:27,908] 28 root - INFO - Initializing KNN Imputer
[2025-06-25 16:16:27,928] 33 root - INFO - Saved numpy array as .npy file
[2025-06-25 16:16:27,930] 33 root - INFO - Saved numpy array as .npy file
[2025-06-25 16:16:27,936] 43 root - INFO - Saved pickle object as .pkl file
[2025-06-25 16:16:27,937] 35 root - INFO - Data Transformation Completed
