[2025-06-25 19:55:33,555] 22 root - INFO - Initiate Data Ingestion
[2025-06-25 19:55:40,562] 51 root - INFO - Performed train-test split
[2025-06-25 19:55:40,788] 61 root - INFO - Split into train-test sets
[2025-06-25 19:55:40,789] 24 root - INFO - Data Ingestion Completed
[2025-06-25 19:55:40,790] 29 root - INFO - Initiate Data Validation
[2025-06-25 19:55:40,954] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:55:40,955] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:55:40,955] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:55:40,955] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:55:41,374] 31 root - INFO - Data Validation Completed
[2025-06-25 19:55:41,374] 36 root - INFO - Initiate Data Transformation
[2025-06-25 19:55:41,374] 39 root - INFO - Initiating Data Transformation
[2025-06-25 19:55:41,555] 28 root - INFO - Initializing KNN Imputer
[2025-06-25 19:55:41,578] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:55:41,580] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:55:41,586] 56 root - INFO - Saved pickle object as .pkl file
[2025-06-25 19:55:41,589] 38 root - INFO - Data Transformation Completed
[2025-06-25 19:55:41,589] 43 root - INFO - Initiated Model Training
