[2025-06-25 19:53:10,285] 22 root - INFO - Initiate Data Ingestion
[2025-06-25 19:53:15,702] 51 root - INFO - Performed train-test split
[2025-06-25 19:53:15,927] 61 root - INFO - Split into train-test sets
[2025-06-25 19:53:15,928] 24 root - INFO - Data Ingestion Completed
[2025-06-25 19:53:15,928] 29 root - INFO - Initiate Data Validation
[2025-06-25 19:53:16,106] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:53:16,106] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:53:16,106] 29 root - INFO - Required number of columns: 23
[2025-06-25 19:53:16,106] 30 root - INFO - Current number of columns: 31
[2025-06-25 19:53:16,633] 31 root - INFO - Data Validation Completed
[2025-06-25 19:53:16,634] 36 root - INFO - Initiate Data Transformation
[2025-06-25 19:53:16,634] 39 root - INFO - Initiating Data Transformation
[2025-06-25 19:53:16,853] 28 root - INFO - Initializing KNN Imputer
[2025-06-25 19:53:16,889] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:53:16,892] 36 root - INFO - Saved numpy array as .npy file
[2025-06-25 19:53:16,898] 56 root - INFO - Saved pickle object as .pkl file
[2025-06-25 19:53:16,900] 38 root - INFO - Data Transformation Completed
[2025-06-25 19:53:16,900] 43 root - INFO - Initiated Model Training
